Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
64;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;16524663;22-05-2018;0;127406;24207;;;151613;;;;;0;;;;0;;;
65;33;Del Giro;96565580-8;CIA DE LEASING TATTERSALL S A;864698;23-05-2018;0;448385;85193;;;533578;;;;;0;;;;0;;;
66;33;Del Giro;85633900-9;TRAVEL SECURITY SA;905900;24-05-2018;3551112;180120;34223;;;3765455;;;;;0;;;;0;;;
67;33;Del Giro;85633900-9;TRAVEL SECURITY SA;905901;24-05-2018;2702368;120080;22815;;;2845263;;;;;0;;;;0;;;
68;33;Del Giro;85633900-9;TRAVEL SECURITY SA;905902;24-05-2018;1361874;60515;11498;;;1433887;;;;;0;;;;0;;;
69;33;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;2469818;27-05-2018;3296;422;80;;;3798;;;;;0;;;;0;;;
70;33;Del Giro;96919400-7;EAGLE COPTERS SOUTH AMERICA S.A.;2671;18-05-2018;0;12647200;2402968;;;15050168;;;;;0;;;;0;;;
71;33;Del Giro;86966100-7;DHL EXPRESS (CHILE) LIMITADA;1155434;25-05-2018;81734;2809;534;;;85077;;;;;0;;;;0;;;
72;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1957;18-05-2018;0;10048142;1909147;;;11957289;;;;;0;;;;0;;;
73;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;1989;25-05-2018;0;714344;135725;;;850069;;;;;0;;;;0;;;
74;33;Del Giro;89854000-6;TURISMO TAITAO S.A.;20396;29-05-2018;0;109800;20862;;;130662;;;;;0;;;;0;;;
75;33;Del Giro;96992030-1;Sociedad Concesionaria Vespucio Norte Express S.A.;1323863;25-05-2018;2225;486;92;;;2803;;;;;0;;;;0;;;
76;33;Del Giro;76057714-6;AG.AD.ALBERTO ROMERO SANCHEZ Y CIA.LTDA.;26349;30-05-2018;0;874447;166145;;;1040592;;;;;0;;;;0;;;
77;33;Del Giro;76057714-6;AG.AD.ALBERTO ROMERO SANCHEZ Y CIA.LTDA.;26350;30-05-2018;0;556028;105645;;;661673;;;;;0;;;;0;;;
78;33;Del Giro;76057714-6;AG.AD.ALBERTO ROMERO SANCHEZ Y CIA.LTDA.;26351;30-05-2018;0;1039528;197510;;;1237038;;;;;0;;;;0;;;
79;33;Del Giro;76923540-K;EAGLE COPTERS CENTRO MANTENIMIENTO AUTORIZADO S.A.;2010;29-05-2018;0;111353;21157;;;132510;;;;;0;;;;0;;;
80;33;Del Giro;76491253-5;INGENIERIA Y SERVICIOS GLOBALNET SPA;2141;26-05-2018;0;135714;25786;;;161500;;;;;0;;;;0;;;
81;34;Del Giro;80314700-0;Empresa de Transportes Rurales SpA;7260141;30-04-2018;147500;0;0;;;147500;;;;;0;;;;0;;;
82;34;Del Giro;76703240-4;TRANSPORTES QUIROZ HERMANOS LTDA;14;27-04-2018;192151;0;0;;;192151;;;;;0;;;;0;;;
83;34;Del Giro;76703240-4;TRANSPORTES QUIROZ HERMANOS LTDA;15;27-04-2018;673249;0;0;;;673249;;;;;0;;;;0;;;
84;34;Del Giro;76703240-4;TRANSPORTES QUIROZ HERMANOS LTDA;16;27-04-2018;893336;0;0;;;893336;;;;;0;;;;0;;;
85;34;Del Giro;76703240-4;TRANSPORTES QUIROZ HERMANOS LTDA;17;27-04-2018;60900;0;0;;;60900;;;;;0;;;;0;;;
86;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;4713534;27-04-2018;6162;0;0;;;6162;;;;;0;;;;0;;;
87;34;Del Giro;76010909-6;ZEAL Sociedad Concesionaria S.A.;92756;30-04-2018;27320;0;0;;;27320;;;;;0;;;;0;;;
88;34;Del Giro;76010909-6;ZEAL Sociedad Concesionaria S.A.;92790;30-04-2018;34150;0;0;;;34150;;;;;0;;;;0;;;
89;34;Del Giro;76010909-6;ZEAL Sociedad Concesionaria S.A.;92798;30-04-2018;13660;0;0;;;13660;;;;;0;;;;0;;;
90;34;Del Giro;76161557-2;ERBETTA, COSTA, MELO, GUZMAN ABOGADOS LIMITADA;808;04-05-2018;486083;0;0;;;486083;;;;;0;;;;0;;;
91;34;Del Giro;76052468-9;ADASME Y COMPANIA LIMITADA;533;14-05-2018;1650000;0;0;;;1650000;;;;;0;;;;0;;;
92;34;Del Giro;76052468-9;ADASME Y COMPANIA LIMITADA;534;14-05-2018;1583334;0;0;;;1583334;;;;;0;;;;0;;;
93;34;Del Giro;61104000-8;Dirección General de Aeronautica Civil;188297;16-05-2018;1665;0;0;;;1665;;;;;0;;;;0;;;
94;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5515523;18-05-2018;9687;0;0;;;9687;;;;;0;;;;0;;;
95;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5513089;18-05-2018;10609;0;0;;;10609;;;;;0;;;;0;;;
96;34;Del Giro;96618230-K;Aldunate y Asociados S.A.;492;22-05-2018;2029109;0;0;;;2029109;;;;;0;;;;0;;;
97;34;Del Giro;6450825-3;OSCAR CARLOS ANTONIO MEDEL OLAVARRIA;2;23-05-2018;722222;0;0;;;722222;;;;;0;;;;0;;;
98;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;4766859;27-05-2018;5088;0;0;;;5088;;;;;0;;;;0;;;
99;34;Del Giro;76604401-8;JAC CARGO LIMITADA;215;28-05-2018;2348706;0;0;;;2348706;;;;;0;;;;0;;;
100;34;Del Giro;76057714-6;AG.AD.ALBERTO ROMERO SANCHEZ Y CIA.LTDA.;7261;30-05-2018;202545;0;0;;;202545;;;;;0;;;;0;;;
101;34;Del Giro;80314700-0;Empresa de Transportes Rurales SpA;7262062;31-05-2018;51600;0;0;;;51600;;;;;0;;;;0;;;
102;61;Del Giro;76703240-4;TRANSPORTES QUIROZ HERMANOS LTDA;4;27-04-2018;0;0;0;;;0;;;;;0;;;;0;;;
103;61;Del Giro;76157291-1;SERVICIOS DE AVIACION HELILOG LIMITADA;3;02-05-2018;0;8368674;1590048;;;9958722;;;;;0;;;;0;;;
104;61;Del Giro;76057714-6;AG.AD.ALBERTO ROMERO SANCHEZ Y CIA.LTDA.;1319;16-05-2018;0;135030;25656;;;160686;;;;;0;;;;0;;;
